1738655	3	Woeseia
1007082	1	Nitrosarchaeum
75654	3	Duganella
1649495	3	Seonamhaeicola
1341118	2	Luminiphilus
2733090	2	Anaposvirus
238783	1	Pseudorhodobacter
316625	1	Saccharophagus
133433	3	Acanthaster
2731966	2	Pelagivirus
447678	2	
12965	1	Bathymodiolus
28253	3	Marinomonas
2731987	2	Votkovvirus
3004	3	Rhizosolenia
2800	3	
338191	3	Nitrosopumilus
67572	2	Psychromonas
286104	3	Winogradskyella
13092	3	Hydractinia
31213	3	Littorina
332102	1	Fluviicola
5073	2	Penicillium
216497	3	Hydroides
527198	1	Mariniflexile
2946789	1	
104267	3	Tenacibaculum
2731964	2	Pedosvirus
263377	1	Salipiger
7664	2	Strongylocentrotus
459520	2	Neptuniibacter
3024544	3	Paracrocinitomix
1935184	1	Vaginella
67475	3	Haslea
444051	1	Mesoflavibacter
3400365	1	Allotamlana
657	3	Photobacterium
1844015	1	Pontivivens
28453	3	Sphingobacterium
1658781	2	Aliiroseovarius
1389453	3	Candidatus Actinomarina
1073	1	
70447	3	Ostreococcus
49230	3	Actinocyclus
6548	3	Mytilus
237	3	Flavobacterium
1518147	2	Wenyingzhuangia
188907	3	Oleispira
2731983	3	Tiamatvirus
35127	3	Thalassiosira
2808942	3	Fluviibacter
997029	1	Pseudopolydora
197752	3	Pleurosigma
94616	3	Fibrocapsa
1204360	1	Siansivirga
35676	3	Pelagomonas
165697	1	Sphingopyxis
1931200	1	
33656	3	Phaeocystis
3405235	3	Saltatorellus
3425740	2	Dynamenevirus
1003030	1	Cerataulina
2731952	2	Krakvirus
518753	3	Luteolibacter
1936111	1	Fuerstiella
2886886	1	
2795973	3	Stieleria
33882	2	
236786	3	Florenciella
2731965	2	Pekhitvirus
2056696	2	Cysteiniphilum
358023	3	Lutibacter
326319	2	Dokdonia
33648	3	Thalassionema
2731979	2	Stopavirus
2678529	1	Kineobactrum
2948839	2	Nilusvirus
10487	1	Iridovirus
2733133	1	
181084	3	Prasinovirus
2843112	3	Veravirus
453849	2	Henriciella
1649331	3	Fretibacter
2302916	3	Chloroparvula
83612	1	
2948803	2	Lipsvirus
2733109	2	Leucotheavirus
286	3	Pseudomonas
1775424	3	Nioella
526215	2	Thalassobaculum
2967331	3	
2795779	1	Rosistilla
28228	2	Colwellia
2948640	1	
363408	1	Nonlabens
393005	1	Tamlana
112040	1	Zobellia
51323	3	Oltmannsiellopsis
3425736	2	Actaeavirus
2302914	3	Chloropicon
150203	2	Blastomonas
2733137	1	Thetisvirus
41275	3	Brevundimonas
1167830	2	Litorimonas
2841677	3	Candidatus Pseudothioglobus
2847769	3	Aequoribacter
46600	2	Polydora
51106	3	Bolinopsis
2861660	1	Pseudalgibacter
262	3	Francisella
1234545	3	Parasphingopyxis
1649463	2	Lentilitoribacter
1912216	3	Cutibacterium
2854186	3	Pseudosulfitobacter
153265	3	Aequorivita
2733107	2	Kanaloavirus
267986	2	Owenweeksia
1593364	3	Candidatus Nitrosopelagicus
2901164	2	Stutzerimonas
210597	3	Licmophora
1759396	3	Marivivens
1917068	3	Melanothamnus
2733139	2	Vellamovirus
2918913	1	Pontimicrobium
1211036	3	Mangrovimonas
28196	3	Arcobacter
97050	3	Ruegeria
497	2	Psychrobacter
66470	3	Lepidodinium
1644148	3	Ylistrum
2948849	1	Ormenosvirus
50949	3	Navicula
1612611	1	Pararhizobium
3006	3	Stephanopyxis
2907134	1	
58050	2	Moritella
420276	3	Biddulphia
2282523	1	Methylorubrum
387658	1	Marixanthomonas
218444	3	Campylaephora
311200	2	Saxidomus
165695	3	Sphingobium
2778525	3	
225842	3	Formosa
511678	2	Aliivibrio
31311	3	Nephroselmis
3424947	2	Spiovirus
670516	1	
120430	2	Hiatella
1030	1	Thiothrix
265578	3	Attheya
369400	1	Flaviramulus
1855416	2	Qipengyuania
335927	1	Thalassovita
156993	2	Reichenbachiella
418700	3	Litorivicinus
1621534	2	Paraglaciecola
6603	3	Mya
202746	1	Sulfurimonas
62100	1	Candidatus Endobugula
2045416	1	Oceanihabitans
38816	1	Gephyrocapsa
366392	1	Flaccisagitta
88014	3	Eurytemora
2731959	2	Nohivirus
2716172	3	Candidatus Bandiella
2731971	2	Powvirus
682522	3	Ilumatobacter
307971	3	
361050	2	Rubritalea
40253	1	Brachidontes
3049269	3	Candidatus Pelagisphaera
1763	2	Mycobacterium
2171616	3	Magallana
266808	3	Thalassobacter
41879	3	Pycnococcus
1648497	2	Boseongicola
2731930	2	Ayaqvirus
3437330	3	Sundstroemia
767891	3	Candidatus Puniceispirillum
2902	3	Emiliania
343334	1	Costertonia
70994	2	Lewinella
3140596	3	Candidatus Leptofilum
2944826	1	
2425	3	Teredinibacter
3040948	3	Candidatus Paraluminiphilus
1518149	3	Thalassotalea
1395974	2	Tardiphaga
282198	3	Nereida
2211641	3	Yoonia
226	3	Alteromonas
2948729	2	Greenvirus
59740	2	Persicobacter
222991	2	Alkanindiges
2066071	3	Bacterioplanoides
374	1	Bradyrhizobium
38832	3	Micromonas
2731978	2	Stopalavirus
2913017	1	Aggregatimonas
34763	3	Oikopleura
198251	3	Candidatus Pelagibacter
29580	1	Janthinobacterium
3044800	2	Rheavirus
2700084	1	Urechidicola
2733096	2	Bellamyvirus
5498	2	Cladosporium
265542	3	Minutocellus
361177	3	Altererythrobacter
96335	3	
2842	3	Skeletonema
2731960	2	Oinezvirus
2768	3	Chondrus
2937410	2	Gymnodinialimonas
1084558	3	Oceanicoccus
53246	3	Pseudoalteromonas
5533	3	Rhodotorula
1050833	1	Eionea
33641	3	Coscinodiscus
117982	3	Palaemon
290174	2	Aquimarina
35683	3	Pseudopedinella
2804	3	Polysiphonia
2733119	1	
13607	3	Mantoniella
60005	2	Strombidium
1123967	2	Porticoccus
59811	2	Lithodesmium
2665910	2	Ulvibacterium
1129	3	Synechococcus
2795605	2	Aureliella
1217416	3	Halioglobus
907197	3	Psychrosphaera
93682	1	Roseivivax
1649453	2	Gimesia
265488	3	Rhodopirellula
2731943	2	Igirivirus
160618	3	Kryptoperidinium
666508	3	
469	1	Acinetobacter
2924	2	Alexandrium
